,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
204,1.2204768180847168,0.03495779929303622,0.012187337875366211,0.0007979336727331861,gblinear,0.1,12,250,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-290331.8661380597,-283986.8500311139,-284285.13431471685,-274714.07364265714,-286495.2045542937,-283962.62573616824,5150.174622150126,247,0.6319407399653945,0.6174661866637727,0.6369600080901515,0.5937194635861159,0.6188662847062882,0.6197905366023445,0.01502248904380304,247
205,1.5559124946594238,0.07401657186712375,0.015093612670898437,0.007927556742833653,gblinear,0.1,12,300,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-288298.9109530473,-281898.8604737088,-282937.27875116677,-273121.3729873211,-284837.57509139704,-282218.7996513282,5043.95645199416,241,0.6384380709192968,0.6248267092101174,0.6442051139292928,0.599862003107793,0.6258645501247653,0.6266392894582531,0.015288414998280014,241
206,1.751693058013916,0.03571810409711604,0.011833620071411134,0.0007583576908421504,gblinear,0.1,12,350,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-286470.1756840796,-280007.08679799316,-281560.44896351895,-271738.82016179216,-283242.41543831676,-280603.7894091401,4924.139854110677,235,0.6440800709697104,0.6312178802722703,0.6509368848653996,0.604983345182249,0.6319517575829336,0.6326339877745126,0.015703742844865337,235
207,1.9657296657562255,0.023253847979958674,0.0116546630859375,0.0015001631006716645,gblinear,0.1,12,400,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-284753.60124183766,-278235.8085427038,-280137.4976761823,-270450.3772071406,-281688.92790331366,-279053.2425142356,4801.95847836254,229,0.6491226391776256,0.6368984063676804,0.6573217940803882,0.6093755778934011,0.637379435446612,0.6380195705931415,0.01623575722627331,229
208,2.5304051876068114,0.0887145601189311,0.012963247299194337,0.0016552898516630583,gblinear,0.1,12,500,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 500, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-281535.8695195895,-274991.6929643746,-277240.89801454573,-268082.3982381767,-278813.80221297446,-276132.9321899322,4554.556136781759,223,0.6579302984374504,0.646666576352166,0.6692445453342062,0.6166120519894918,0.6467905018671363,0.6474487947960901,0.01753206537917457,223
209,3.622648000717163,0.06423145089487964,0.01495504379272461,0.004678457454967458,gblinear,0.1,12,700,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 700, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-275791.56454057834,-269358.8305654947,-271538.8215230243,-264002.63915681397,-273664.7158719664,-270871.31433157553,4047.80992475511,205,0.6720418061729396,0.6616817330118112,0.6899230827851712,0.6270588410174238,0.6616141257871504,0.6624639177548992,0.020496805160099645,205
210,1.2864536762237548,0.0431236985367765,0.013299226760864258,0.0026538400934457405,gblinear,0.1,13,250,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 13, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-290331.8661380597,-283986.8500311139,-284285.13431471685,-274714.07364265714,-286495.2045542937,-283962.62573616824,5150.174622150126,247,0.6319407399653945,0.6174661866637727,0.6369600080901515,0.5937194635861159,0.6188662847062882,0.6197905366023445,0.01502248904380304,247
211,1.5553413391113282,0.02160003035720292,0.012277936935424805,0.0009152212053303745,gblinear,0.1,13,300,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 13, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-288298.9109530473,-281898.8604737088,-282937.27875116677,-273121.3729873211,-284837.57509139704,-282218.7996513282,5043.95645199416,241,0.6384380709192968,0.6248267092101174,0.6442051139292928,0.599862003107793,0.6258645501247653,0.6266392894582531,0.015288414998280014,241
212,2.404711103439331,0.28064377736068596,0.02669377326965332,0.016517600664458447,gblinear,0.1,13,350,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 13, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-286470.1756840796,-280007.08679799316,-281560.44896351895,-271738.82016179216,-283242.41543831676,-280603.7894091401,4924.139854110677,235,0.6440800709697104,0.6312178802722703,0.6509368848653996,0.604983345182249,0.6319517575829336,0.6326339877745126,0.015703742844865337,235
213,3.133347272872925,0.23556289270664943,0.015451288223266602,0.0029139171489655953,gblinear,0.1,13,400,-1,reg:squarederror,"{'booster': 'gblinear', 'learning_rate': 0.1, 'max_depth': 13, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-284753.60124183766,-278235.8085427038,-280137.4976761823,-270450.3772071406,-281688.92790331366,-279053.2425142356,4801.95847836254,229,0.6491226391776256,0.6368984063676804,0.6573217940803882,0.6093755778934011,0.637379435446612,0.6380195705931415,0.01623575722627331,229
